time,issues
2021-03-10,4402
2021-03-11,4407
2021-03-12,4424
2021-03-13,4428
2021-03-14,4431
2021-03-15,4436
2021-03-16,4445
2021-03-17,4462
2021-03-18,4469
2021-03-19,4478
2021-03-20,4484
2021-03-21,4489
2021-03-22,4497
2021-03-23,4505
2021-03-24,4524
2021-03-25,4531
2021-03-26,4540
2021-03-27,4546
2021-03-28,4548
2021-03-29,4558
2021-03-30,4571
2021-03-31,4581
2021-04-01,4593
2021-04-02,4602
2021-04-03,4606
2021-04-04,4609
2021-04-05,4617
2021-04-06,4629
2021-04-07,4644
2021-04-08,4654
2021-04-09,4663
2021-04-10,4666
2021-04-11,4672
2021-04-12,4679
2021-04-13,4701
2021-04-14,4718
2021-04-15,4732
2021-04-16,4744
2021-04-17,4748
2021-04-18,4750
2021-04-19,4760
2021-04-20,4773
2021-04-21,4779
2021-04-22,4791
2021-04-23,4803
2021-04-24,4806
2021-04-25,4808
2021-04-26,4816
2021-04-27,4825
2021-04-28,4841
2021-04-29,4848
2021-04-30,4856
2021-05-01,4861
2021-05-02,4863
2021-05-03,4874
2021-05-04,4879
2021-05-05,4889
2021-05-06,4900
2021-05-07,4906
2021-05-08,4910
2021-05-09,4912
2021-05-10,4919
2021-05-11,4930
2021-05-12,4946
2021-05-13,4952
2021-05-14,4953
2021-05-15,4956
2021-05-16,4958
2021-05-17,4968
2021-05-18,4978
2021-05-19,4987
2021-05-20,4994
2021-05-21,5008
2021-05-22,5011
2021-05-23,5016
2021-05-24,5031
2021-05-25,5035
2021-05-26,5042
2021-05-27,5050
2021-05-28,5053
2021-05-29,5055
2021-05-30,5056
2021-05-31,5060
2021-06-01,5069
2021-06-02,5071
2021-06-03,5074
2021-06-04,5080
2021-06-05,5082
2021-06-06,5084
2021-06-07,5096
2021-06-08,5104
2021-06-09,5112
2021-06-10,5123
2021-06-11,5131
2021-06-12,5132
2021-06-13,5135
2021-06-14,5138
2021-06-15,5140
2021-06-16,5153
2021-06-17,5166
2021-06-18,5179
2021-06-19,5182
2021-06-20,5184
2021-06-21,5192
2021-06-22,5200
2021-06-23,5207
2021-06-24,5211
2021-06-25,5218
2021-06-26,5221
2021-06-27,5224
2021-06-28,5234
2021-06-29,5253
2021-06-30,5259
2021-07-01,5266
2021-07-02,5270
2021-07-03,5273
2021-07-04,5278
2021-07-05,5284
2021-07-06,5291
2021-07-07,5296
2021-07-08,5299
2021-07-09,5311
2021-07-10,5314
2021-07-11,5317
2021-07-12,5322
2021-07-13,5326
2021-07-14,5346
2021-07-15,5354
2021-07-16,5358
2021-07-18,5360
2021-07-19,5365
2021-07-20,5373
2021-07-21,5377
2021-07-22,5388
2021-07-23,5391
2021-07-24,5397
2021-07-25,5399
2021-07-26,5404
2021-07-27,5410
2021-07-28,5425
2021-07-29,5435
2021-07-30,5445
2021-07-31,5448
2021-08-01,5452
2021-08-02,5463
2021-08-03,5477
2021-08-04,5481
2021-08-05,5492
2021-08-06,5502
2021-08-07,5504
2021-08-08,5505
2021-08-09,5513
2021-08-10,5519
2021-08-11,5527
2021-08-12,5535
2021-08-13,5543
2021-08-14,5546
2021-08-15,5551
2021-08-16,5558
2021-08-17,5563
2021-08-18,5575
2021-08-19,5582
2021-08-20,5587
2021-08-21,5590
2021-08-23,5598
2021-08-24,5606
2021-08-25,5619
2021-08-26,5632
2021-08-27,5640
2021-08-28,5643
2021-08-29,5646
2021-08-30,5655
2021-08-31,5665
2021-09-01,5673
2021-09-02,5679
2021-09-03,5686
2021-09-04,5689
2021-09-05,5692
2021-09-06,5698
2021-09-07,5701
2021-09-08,5720
2021-09-09,5727
2021-09-10,5735
2021-09-11,5738
2021-09-12,5741
2021-09-13,5749
2021-09-14,5755
2021-09-15,5770
2021-09-16,5781
2021-09-17,5791
2021-09-18,5796
2021-09-19,5799
2021-09-20,5807
2021-09-21,5819
2021-09-22,5830
2021-09-23,5845
2021-09-24,5857
2021-09-25,5862
2021-09-26,5868
2021-09-27,5877
2021-09-28,5887
2021-09-29,5894
2021-09-30,5905
2021-10-01,5911
2021-10-02,5913
2021-10-04,5919
2021-10-05,5922
2021-10-06,5930
2021-10-07,5935
2021-10-08,5938
2021-10-09,5942
2021-10-10,5943
2021-10-11,5947
2021-10-12,5954
2021-10-13,5960
2021-10-14,5966
2021-10-15,5968
2021-10-16,5971
2021-10-17,5972
2021-10-18,5981
2021-10-19,5991
2021-10-20,5999
2021-10-21,6004
2021-10-22,6018
2021-10-23,6021
2021-10-24,6026
2021-10-25,6029
2021-10-26,6039
2021-10-27,6056
2021-10-28,6071
2021-10-29,6080
2021-10-30,6084
2021-10-31,6090
2021-11-01,6095
2021-11-02,6106
2021-11-03,6115
2021-11-04,6122
2021-11-05,6127
2021-11-06,6129
2021-11-07,6133
2021-11-08,6142
2021-11-09,6155
2021-11-10,6160
2021-11-11,6171
2021-11-12,6181
2021-11-13,6185
2021-11-14,6186
2021-11-15,6195
2021-11-16,6208
2021-11-17,6220
2021-11-18,6226
2021-11-19,6232
2021-11-20,6233
2021-11-21,6237
2021-11-22,6248
2021-11-23,6256
2021-11-24,6267
2021-11-25,6272
2021-11-26,6282
2021-11-27,6284
2021-11-28,6286
2021-11-29,6300
2021-11-30,6308
2021-12-01,6319
2021-12-02,6330
2021-12-03,6340
2021-12-04,6341
2021-12-05,6347
2021-12-06,6359
2021-12-07,6375
2021-12-08,6384
2021-12-09,6398
2021-12-10,6407
2021-12-11,6411
2021-12-12,6412
2021-12-13,6417
2021-12-14,6427
2021-12-15,6434
2021-12-16,6449
2021-12-17,6458
2021-12-18,6462
2021-12-19,6465
2021-12-20,6472
2021-12-21,6484
2021-12-23,6490
2021-12-24,6496
2021-12-25,6498
2021-12-26,6499
2021-12-27,6501
2021-12-28,6507
2021-12-29,6516
2021-12-30,6524
2021-12-31,6526
2022-01-01,6527
2022-01-02,6529
2022-01-03,6532
2022-01-04,6535
2022-01-05,6550
2022-01-06,6572
2022-01-07,6581
2022-01-08,6584
2022-01-09,6586
2022-01-10,6594
2022-01-11,6602
2022-01-12,6614
2022-01-13,6623
2022-01-14,6635
2022-01-15,6639
2022-01-16,6642
2022-01-17,6647
2022-01-18,6657
2022-01-19,6668
2022-01-20,6677
2022-01-21,6685
2022-01-22,6688
2022-01-23,6691
2022-01-24,6698
2022-01-25,6702
2022-01-26,6739
2022-01-27,6746
2022-01-28,6750
2022-01-29,6753
2022-01-30,6755
2022-01-31,6759
2022-02-01,6769
